title,max_players,genres,publisher,review_score,sales,price,console,age_rating,year,average_length
Call of Duty 3,1,Action,Activision,69,1.15,19.95,Nintendo Wii,E,2006,8.81666666666667
Final Fantasy Fables: Chocobo's Dungeon,1,"Action,Role-Playing (RPG)",SquareEnix,76,0.09,17.95,Nintendo Wii,M,2008,28.1666666666667
Animal Crossing: Wild World,1,Simulation,Nintendo,86,2.6,24.95,Nintendo DS,T,2005,168.966666666667
ObsCure: The Aftermath,1,Action,,53,0.1,16.95,Nintendo Wii,T,2008,7.63333333333333
Def Jam: Icon,2,Action,EA,69,0.32,17.95,X360,M,2007,8
BlackSite: Area 51,1,Action,Midway,56,0.07,17.95,PlayStation 3,E,2007,5.81666666666667
From the Abyss,1,"Action,Role-Playing (RPG)",,60,0.05,19.95,Nintendo DS,T,2008,7.38333333333333
Virtua Fighter 5,2,Action,Sega,85,0.3,14.95,PlayStation 3,M,2007,3.33333333333333
Madagascar: Escape 2 Africa,4,Action,Activision,58,0.1,24.95,PlayStation 3,M,2008,6.5
LEGO Batman: The Videogame,1,"Action,Racing / Driving",,72,1.39,17.95,Nintendo DS,T,2008,17.3333333333333
Ridge Racer 7,2,Racing / Driving,"Namco,Sony",78,0.23,19.95,PlayStation 3,E,2006,21.25
Tomb Raider: Underworld,1,Action,Eidos,70,0.14,17.95,Nintendo Wii,T,2008,11.5166666666667
Surf's Up,2,Sports,Ubisoft,64,0.16,16.95,Nintendo Wii,T,2007,1.28333333333333
Worms: Open Warfare,1,"Action,Strategy",THQ,70,0.12,17.95,Sony PSP,T,2006,9.11666666666667
Eragon,1,"Action,Role-Playing (RPG)",,63,0.14,16.95,Nintendo DS,E,2006,8.83333333333333
Pro Evolution Soccer 2008,7,Sports,Konami,74,0.04,17.95,PlayStation 3,E,2007,63.8
Blade Dancer: Lineage of Light,1,Role-Playing (RPG),,60,0.06,16.95,Sony PSP,E,2006,29.2833333333333
DK: Jungle Climber,1,"Action,Strategy",Nintendo,77,0.26,24.95,Nintendo DS,T,2007,6.43333333333333
Syphon Filter: Dark Mirror,1,Action,Sony,87,0.24,12.95,Sony PSP,M,2006,8.46666666666667
Electroplankton,1,Simulation,Nintendo,71,0.01,29.95,Nintendo DS,T,2005,0.433333333333333
Spectrobes: Beyond the Portals,1,"Action,Role-Playing (RPG)",Disney,70,0.27,11.95,Nintendo DS,M,2008,30.25
Enemy Territory: Quake Wars,1,Action,Activision,69,0.26,14.95,X360,T,2008,9.91666666666667
Kingdom Under Fire: Circle of Doom,1,"Action,Role-Playing (RPG)",Microsoft,55,0.15,14.95,X360,E,2007,107.833333333333
Folklore,1,"Action,Role-Playing (RPG)",Sony,75,0.18,24.95,PlayStation 3,E,2007,20.7833333333333
Peter Jackson's King Kong: The Official Game of...,2,Action,Ubisoft,80,0.32,14.95,X360,T,2005,6.96666666666667
Bee Movie Game,2,Action,Activision,71,0.15,12.95,X360,T,2007,5.76666666666667
Spyro: Shadow Legacy,1,Role-Playing (RPG),,50,0.15,17.95,Nintendo DS,E,2005,4
Super Dodgeball Brawlers,1,"Action,Sports",,65,0.12,19.95,Nintendo DS,T,2008,0.683333333333333
Saints Row,1,"Action,Racing / Driving",THQ,81,1.23,14.95,X360,T,2006,24.6833333333333
Ridge Racer 6,2,Racing / Driving,"EA,Namco",74,0.1,14.95,X360,E,2005,8
Dance Dance Revolution Hottest Party,4,Action,Konami,73,1.45,17.95,Nintendo Wii,T,2007,8
Astonishia Story,1,"Role-Playing (RPG),Strategy",Ubisoft,48,0.03,16.95,Sony PSP,T,2006,19.05
Rune Factory: A Fantasy Harvest Moon,1,"Role-Playing (RPG),Simulation",,78,0.34,24.95,Nintendo DS,T,2006,66.1333333333333
Brain Agey: More Training in Minutes a Day!,1,Action,Nintendo,77,3.65,17.95,Nintendo DS,E,2005,13.25
Mega Man Battle Network 5: Double Team DS,1,"Action,Role-Playing (RPG)",Capcom,68,0.06,17.95,Nintendo DS,E,2005,36.2333333333333
The Legend of Heroes III: Song of the Ocean,1,Role-Playing (RPG),Namco,58,0.03,17.95,Sony PSP,T,2007,49.8833333333333
DiRT,1,"Racing / Driving,Simulation,Sports",,83,0.39,17.95,X360,E,2007,16.0333333333333
Rock Band,4,"Action,Simulation",,92,2.02,14.95,X360,E,2007,19.3666666666667
WarTech: Senko no Ronde,2,Action,Ubisoft,60,0.03,12.95,X360,T,2006,25.8833333333333
Mario Kart Wii,4,Racing / Driving,Nintendo,82,12.39,29.95,Nintendo Wii,T,2008,11.4
Tokobot,1,Strategy,,72,0.06,17.95,Sony PSP,T,2005,9.33333333333333
Mega Man Powered Up,1,Action,Capcom,82,0.11,16.95,Sony PSP,E,2006,5.63333333333333
Pro Evolution Soccer 2008,4,Sports,Konami,76,0.08,14.95,X360,M,2007,63.8
The Spiderwick Chronicles,2,"Action,Adventure",,59,0.07,14.95,X360,E,2008,5.33333333333333
Conan,1,"Action,Adventure",THQ,69,0.14,17.95,PlayStation 3,E,2007,7.18333333333333
Call of Juarez,1,Action,Ubisoft,71,0.15,14.95,X360,E,2007,8.63333333333333
Sea Monsters: A Prehistoric Adventure,1,"Action,Educational",,43,0.01,13.95,Nintendo DS,T,2007,5
Neopets Puzzle Adventure,1,"Adventure,Role-Playing (RPG),Strategy",Capcom,70,0.25,17.95,Nintendo DS,T,2008,3
Call of Duty: World at War,4,Action,Activision,84,4.58,29.95,X360,E,2008,10.2833333333333
CrossworDS,1,"Educational,Strategy",,67,0.53,17.95,Nintendo DS,T,2007,17.2
Chicken Hunter,1,Action,,39,0.02,17.95,Nintendo DS,T,2008,1.5
Call of Duty: World at War,4,Action,Activision,85,2.53,29.95,PlayStation 3,T,2008,10.2833333333333
Shrek the Third,2,Action,Activision,57,0.26,16.95,Nintendo Wii,E,2007,5.11666666666667
Diddy Kong Racing DS,1,"Racing / Driving,Sports",Nintendo,63,1.16,24.95,Nintendo DS,T,2007,14.65
Spider-Man: Friend or Foe,2,Action,Activision,60,0.27,17.95,X360,E,2007,11.1166666666667
Clubhouse Games,1,Strategy,Nintendo,83,0.61,17.95,Nintendo DS,E,2005,20
Gurumin: A Monstrous Adventure,1,Action,,78,0.01,13.95,Sony PSP,T,2006,11.5166666666667
Dungeon Siege: Throne of Agony,1,Role-Playing (RPG),2K,74,0.13,24.95,Sony PSP,E,2006,17.6
Kirby: Canvas Curse,1,Action,Nintendo,86,0.37,17.95,Nintendo DS,T,2005,7.4
